Date,Stress
13/12/2022,24
14/12/2022,35
15/12/2022,25
16/12/2022,25
17/12/2022,32
18/12/2022,46
19/12/2022,34
20/12/2022,36
21/12/2022,37
22/12/2022,52
23/12/2022,68
24/12/2022,28
25/12/2022,31
26/12/2022,33
27/12/2022,29
28/12/2022,29
29/12/2022,29
30/12/2022,28
31/12/2022,36
01/01/2023,32
02/01/2023,23
03/01/2023,22
04/01/2023,30
05/01/2023,25
06/01/2023,41
07/01/2023,30
08/01/2023,28
09/01/2023,19
10/01/2023,24
11/01/2023,44
12/01/2023,25
13/01/2023,29
14/01/2023,28
15/01/2023,22
16/01/2023,24
17/01/2023,23
18/01/2023,22
19/01/2023,38
20/01/2023,36
21/01/2023,41
22/01/2023,22
23/01/2023,26
24/01/2023,28
25/01/2023,25
26/01/2023,31
27/01/2023,19
28/01/2023,36
29/01/2023,26
30/01/2023,21
31/01/2023,22
01/02/2023,23
02/02/2023,26
03/02/2023,31
04/02/2023,30
05/02/2023,21
06/02/2023,21
07/02/2023,18
08/02/2023,20
09/02/2023,23
10/02/2023,22
11/02/2023,30
12/02/2023,21
13/02/2023,20
14/02/2023,20
15/02/2023,43
16/02/2023,31
17/02/2023,18
18/02/2023,27
19/02/2023,25
20/02/2023,26
21/02/2023,15
22/02/2023,21
23/02/2023,23
24/02/2023,24
26/02/2023,32
27/02/2023,23
28/02/2023,21
01/03/2023,30
02/03/2023,26
03/03/2023,25
04/03/2023,28
05/03/2023,24
06/03/2023,23
07/03/2023,26
08/03/2023,39
09/03/2023,26
10/03/2023,39
11/03/2023,42
12/03/2023,34
13/03/2023,25
14/03/2023,22
15/03/2023,28
16/03/2023,41
17/03/2023,30
18/03/2023,32
19/03/2023,26
20/03/2023,25
21/03/2023,28
22/03/2023,25
23/03/2023,34
24/03/2023,33
25/03/2023,28
26/03/2023,36
27/03/2023,24
28/03/2023,68
29/03/2023,22
01/04/2023,40
02/04/2023,25
03/04/2023,14
04/04/2023,32
05/04/2023,32
06/04/2023,28
07/04/2023,40
08/04/2023,39
09/04/2023,24
10/04/2023,27
11/04/2023,24
12/04/2023,30
13/04/2023,24
14/04/2023,30
15/04/2023,36
16/04/2023,30
17/04/2023,29
18/04/2023,25
19/04/2023,25
20/04/2023,24
21/04/2023,24
22/04/2023,25
23/04/2023,32
24/04/2023,27
25/04/2023,24
26/04/2023,22
27/04/2023,22
28/04/2023,22
29/04/2023,26
30/04/2023,22
01/05/2023,32
02/05/2023,20
03/05/2023,19
04/05/2023,23
05/05/2023,27
06/05/2023,29
07/05/2023,29
08/05/2023,21
09/05/2023,21
10/05/2023,42
11/05/2023,22
12/05/2023,25
13/05/2023,22
14/05/2023,19
15/05/2023,20
16/05/2023,22
17/05/2023,26
18/05/2023,21
19/05/2023,26
20/05/2023,37
21/05/2023,26
22/05/2023,32
23/05/2023,22
24/05/2023,23
25/05/2023,31
26/05/2023,26
27/05/2023,27
28/05/2023,32
29/05/2023,30
30/05/2023,22
31/05/2023,20
01/06/2023,34
02/06/2023,28
03/06/2023,35
04/06/2023,27
05/06/2023,28
06/06/2023,23
07/06/2023,22
08/06/2023,19
09/06/2023,30
10/06/2023,32
11/06/2023,30
12/06/2023,33
13/06/2023,30
14/06/2023,36
15/06/2023,25
17/06/2023,35
18/06/2023,24
19/06/2023,25
20/06/2023,26
21/06/2023,22
22/06/2023,29
23/06/2023,26
24/06/2023,35
25/06/2023,24
26/06/2023,26
27/06/2023,30
28/06/2023,21
29/06/2023,19
30/06/2023,23
01/07/2023,43
02/07/2023,25
03/07/2023,24
04/07/2023,25
05/07/2023,21
06/07/2023,23
07/07/2023,26
08/07/2023,26
09/07/2023,35
10/07/2023,25
11/07/2023,21
12/07/2023,23
13/07/2023,36
14/07/2023,56
15/07/2023,32
16/07/2023,18
17/07/2023,18
18/07/2023,21
19/07/2023,24
20/07/2023,20
21/07/2023,29
22/07/2023,27
23/07/2023,27
24/07/2023,22
25/07/2023,25
26/07/2023,24
27/07/2023,19
28/07/2023,29
29/07/2023,22
30/07/2023,24
31/07/2023,21
01/08/2023,17
02/08/2023,29
03/08/2023,24
04/08/2023,24
05/08/2023,23
06/08/2023,24
07/08/2023,29
08/08/2023,27
09/08/2023,29
10/08/2023,23
11/08/2023,22
12/08/2023,48
13/08/2023,40
14/08/2023,25
15/08/2023,24
16/08/2023,26
17/08/2023,25
18/08/2023,28
19/08/2023,29
20/08/2023,24
21/08/2023,20
22/08/2023,44
23/08/2023,31
24/08/2023,33
25/08/2023,50
26/08/2023,34
27/08/2023,42
28/08/2023,27
29/08/2023,20
30/08/2023,31
31/08/2023,28
01/09/2023,28
02/09/2023,35
03/09/2023,30
04/09/2023,35
05/09/2023,26
06/09/2023,26
07/09/2023,24
08/09/2023,25
09/09/2023,19
10/09/2023,31
11/09/2023,29
12/09/2023,35
13/09/2023,26
14/09/2023,29
15/09/2023,24
16/09/2023,34
17/09/2023,22
18/09/2023,19
19/09/2023,16
20/09/2023,27
21/09/2023,19
22/09/2023,20
23/09/2023,30
24/09/2023,25
25/09/2023,33
26/09/2023,17
27/09/2023,29
28/09/2023,19
29/09/2023,18
30/09/2023,31
01/10/2023,29
02/10/2023,26
03/10/2023,27
04/10/2023,15
05/10/2023,23
06/10/2023,20
07/10/2023,13
08/10/2023,21
09/10/2023,9
10/10/2023,19
11/10/2023,25
12/10/2023,18
13/10/2023,21
14/10/2023,30
15/10/2023,25
16/10/2023,19
17/10/2023,24
18/10/2023,23
19/10/2023,20
20/10/2023,21
21/10/2023,32
22/10/2023,34
23/10/2023,24
24/10/2023,22
25/10/2023,36
26/10/2023,22
27/10/2023,20
28/10/2023,22
29/10/2023,29
30/10/2023,20
31/10/2023,21
01/11/2023,24
02/11/2023,22
03/11/2023,24
04/11/2023,29
05/11/2023,25
06/11/2023,20
07/11/2023,20
08/11/2023,8
09/11/2023,28
10/11/2023,33
11/11/2023,20
12/11/2023,26
13/11/2023,19
14/11/2023,17
15/11/2023,30
16/11/2023,17
17/11/2023,23
18/11/2023,21
19/11/2023,24
20/11/2023,16
21/11/2023,20
22/11/2023,27
23/11/2023,19
24/11/2023,24
25/11/2023,36
26/11/2023,19
27/11/2023,17
28/11/2023,17
29/11/2023,23
30/11/2023,21
01/12/2023,21
02/12/2023,26
03/12/2023,41
04/12/2023,19
05/12/2023,27
06/12/2023,64
07/12/2023,19
08/12/2023,22
09/12/2023,19
10/12/2023,41
11/12/2023,28
12/12/2023,12
13/12/2023,29
14/12/2023,25
15/12/2023,22
16/12/2023,17
17/12/2023,21
18/12/2023,23
19/12/2023,26
20/12/2023,20
21/12/2023,19
22/12/2023,23
23/12/2023,25
24/12/2023,23
25/12/2023,25
26/12/2023,21
27/12/2023,20
28/12/2023,20
29/12/2023,19
30/12/2023,21
31/12/2023,22
01/01/2024,28
02/01/2024,20
03/01/2024,35
04/01/2024,18
05/01/2024,19
06/01/2024,26
07/01/2024,28
08/01/2024,32
